,index,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Fajr_start,Fajr_end,Dhuhr_start,Dhuhr_end,Asr_start,Asr_end,Maghrib_start,Maghrib_end,Isha_start,Isha_end,SleepStart,SleepEnd,NapStart,NapEnd
0,2023-05-01,02:45 AM,05:15,12:40 PM,04:42 PM,08:04 PM,10:23 PM,03:42 AM,03:47 AM,12:40 PM,12:45 PM,04:42 PM,04:47 PM,08:04 PM,08:09 PM,10:23 PM,10:28 PM,10:45 PM,02:45 AM,01:10 PM,02:10 PM
1,2023-05-02,02:42 AM,05:14,12:40 PM,04:43 PM,08:06 PM,10:26 PM,03:42 AM,03:47 AM,12:40 PM,12:45 PM,04:43 PM,04:48 PM,08:06 PM,08:11 PM,10:26 PM,10:31 PM,10:42 PM,02:42 AM,01:10 PM,02:10 PM
2,2023-05-03,02:24 AM,05:12,12:40 PM,04:43 PM,08:08 PM,10:29 PM,03:42 AM,03:47 AM,12:40 PM,12:45 PM,04:43 PM,04:48 PM,08:08 PM,08:13 PM,10:29 PM,10:34 PM,10:24 PM,02:24 AM,01:10 PM,02:10 PM
3,2023-05-04,02:24 AM,05:10,12:40 PM,04:44 PM,08:09 PM,10:32 PM,03:42 AM,03:47 AM,12:40 PM,12:45 PM,04:44 PM,04:49 PM,08:09 PM,08:14 PM,10:32 PM,10:37 PM,10:24 PM,02:24 AM,01:10 PM,02:10 PM
4,2023-05-05,02:23 AM,05:08,12:39 PM,04:45 PM,08:11 PM,10:36 PM,03:42 AM,03:47 AM,11:39 AM,01:39 PM,04:45 PM,04:50 PM,08:11 PM,08:16 PM,10:36 PM,10:41 PM,10:23 PM,02:23 AM,01:09 PM,02:09 PM
5,2023-05-06,02:22 AM,05:06,12:39 PM,04:45 PM,08:13 PM,10:39 PM,03:42 AM,03:47 AM,12:39 PM,12:44 PM,04:45 PM,04:50 PM,08:13 PM,08:18 PM,10:39 PM,10:44 PM,10:22 PM,02:22 AM,01:09 PM,02:09 PM
6,2023-05-07,02:21 AM,05:04,12:39 PM,04:46 PM,08:14 PM,10:42 PM,03:42 AM,03:47 AM,12:39 PM,12:44 PM,04:46 PM,04:51 PM,08:14 PM,08:19 PM,10:42 PM,10:47 PM,10:21 PM,02:21 AM,01:09 PM,02:09 PM
7,2023-05-08,02:21 AM,05:03,12:39 PM,04:47 PM,08:16 PM,10:43 PM,03:42 AM,03:47 AM,12:39 PM,12:44 PM,04:47 PM,04:52 PM,08:16 PM,08:21 PM,10:43 PM,10:48 PM,10:21 PM,02:21 AM,01:09 PM,02:09 PM
8,2023-05-09,02:20 AM,05:01,12:39 PM,04:47 PM,08:18 PM,10:44 PM,03:42 AM,03:47 AM,12:39 PM,12:44 PM,04:47 PM,04:52 PM,08:18 PM,08:23 PM,10:44 PM,10:49 PM,10:20 PM,02:20 AM,01:09 PM,02:09 PM
9,2023-05-10,02:19 AM,04:59,12:39 PM,04:48 PM,08:19 PM,10:44 PM,03:42 AM,03:47 AM,12:39 PM,12:44 PM,04:48 PM,04:53 PM,08:19 PM,08:24 PM,10:44 PM,10:49 PM,10:19 PM,02:19 AM,01:09 PM,02:09 PM
10,2023-05-11,02:19 AM,04:57,12:39 PM,04:49 PM,08:21 PM,10:45 PM,03:42 AM,03:47 AM,12:39 PM,12:44 PM,04:49 PM,04:54 PM,08:21 PM,08:26 PM,10:45 PM,10:50 PM,10:19 PM,02:19 AM,01:09 PM,02:09 PM
